Nanoparticle_Type,Base_Fluid,Volume_Fraction (%),Temperature (°C),Flow_Velocity (m/s),Thermal_Conductivity (W/mK),Specific_Heat_Capacity (J/kgK),Density (kg/m³),Viscosity (Pa·s),Heat_Transfer_Coefficient (W/m²K)
ZnO,Water,3.27,85.8,0.656,1.619,1982,1524,0.00325,1987.412345
ZnO,Oil,1.17,38.6,2.61,0.851,2062,1964,0.00497,6744.704976
TiO2,Ethylene Glycol,2.74,27.3,2.552,1.758,3949,1071,0.00737,5060.450503
ZnO,Propylene Glycol,1.59,59.9,0.9,1.918,4184,1174,0.00813,3160.339264
TiO2,Propylene Glycol,3.37,46.3,0.248,0.977,3748,1240,0.0065,535.3801695
SiO2,Oil,0.78,35.5,1.254,1.458,820,1841,0.00857,2996.602229
CuO,Water,3.35,66.8,0.263,1.567,1689,1972,0.00744,759.110071
Al2O3,Water,4.15,57.1,1.373,0.928,3426,1413,0.00284,2367.123739
SiO2,Water,2.39,26.2,1.87,0.691,3889,1532,0.00434,3782.350432
ZnO,Oil,2.51,84.9,1.874,1.84,4342,1253,0.00336,6946.212571
ZnO,Water,4.09,52.2,2.834,1.113,857,1664,0.00129,4197.711782
TiO2,Ethylene Glycol,0.11,76.5,2.58,1.167,1345,985,0.00192,6838.940334
CuO,Ethylene Glycol,2.09,56.7,0.809,0.727,873,1475,0.00917,920.8242616
SiO2,Propylene Glycol,2.12,34.6,2.531,0.674,1374,1057,0.00403,2707.563894
CuO,Oil,3.03,40.9,1.42,1.215,4404,1549,0.00201,5306.005086
SiO2,Water,4.59,82.6,0.696,0.852,4106,1405,0.00066,2032.468881
CuO,Propylene Glycol,3.15,85.8,0.29,1.088,3728,1660,0.0087,774.5635894
ZnO,Ethylene Glycol,4.15,28.5,1.082,1.823,1203,1110,0.0009,2518.967819
SiO2,Oil,2.67,71.8,1.846,0.861,1312,1397,0.00774,2014.492801
ZnO,Ethylene Glycol,4.07,52.7,1.937,1.277,2425,1151,0.00915,1749.365254
SiO2,Oil,2.44,67.7,1.774,1.138,3976,1746,0.00433,5682.163236
TiO2,Oil,2.9,36,1.131,1.492,1470,1447,0.00245,2987.385499
TiO2,Ethylene Glycol,3.92,81.7,0.292,1.491,1087,1084,0.00342,457.4211136
TiO2,Ethylene Glycol,4.6,61.2,0.192,0.674,2825,1276,0.00647,187.7615171
SiO2,Oil,3.96,82.1,2.729,1.552,865,1344,0.00385,2884.339472
SiO2,Oil,4.62,85.9,0.225,0.6,1270,1126,0.00875,125.0259842
SiO2,Water,0.7,66.6,1.396,1.479,1080,1959,0.00872,3861.342123
Al2O3,Water,3.49,56.6,0.396,0.676,3874,1923,0.00605,836.1186632
ZnO,Propylene Glycol,1.72,26.4,0.955,1.765,3311,1146,0.00658,2960.635229
ZnO,Oil,1.86,26,2.626,1.991,3846,1554,0.00109,19388.60084
Al2O3,Water,1.55,70.5,0.614,1.326,2955,2006,0.00779,2554.419081
Al2O3,Water,2.97,69.7,0.951,0.792,2099,1248,0.00383,1558.796456
Al2O3,Oil,0.84,87.7,2.541,1.526,3370,936,0.00954,5221.051002
TiO2,Oil,2,86,2.148,0.817,1664,1926,0.00886,3511.606233
Al2O3,Oil,4.66,48.5,1.684,0.978,3816,1428,0.00052,4605.879209
ZnO,Water,2.08,73.2,0.446,1.717,1814,1569,0.00626,1565.545992
TiO2,Propylene Glycol,3.17,69,2.283,0.964,2756,1102,0.00302,3756.729509
TiO2,Ethylene Glycol,1.61,58.5,2.57,0.624,1006,1045,0.00851,1917.535293
CuO,Oil,4.53,65.8,1.26,1.081,3224,1870,0.00483,1988.55802
Al2O3,Oil,3.95,49,1.428,1.34,3501,1215,0.00961,1769.745396
ZnO,Oil,1.28,80.6,1.379,1.565,3403,1162,0.00691,3994.251856
SiO2,Oil,3.05,53.7,2.908,0.767,2609,1588,0.0056,3918.010116
ZnO,Water,4.77,23.3,0.334,1.067,3517,1949,0.00099,1241.773254
ZnO,Water,0.26,46,2.777,1.728,1580,1454,0.00608,8380.832481
ZnO,Water,0.12,70.9,0.835,1.424,2506,1988,0.00277,6130.684651
TiO2,Water,1.25,39.5,1.805,1.611,4115,1221,0.00974,4879.204352
TiO2,Oil,4.35,37.7,0.642,1.444,2991,1731,0.00346,1549.784264
CuO,Ethylene Glycol,1.74,80.6,0.786,0.975,889,1852,0.00062,4115.199722
CuO,Ethylene Glycol,3.51,59.7,1.532,0.814,4359,1436,0.0045,2546.110101
SiO2,Propylene Glycol,1.63,73.1,1.972,0.913,1381,1272,0.00567,3036.395647
TiO2,Oil,3.04,82.3,2.524,1.612,2893,1708,0.0087,5256.039875
SiO2,Propylene Glycol,1.57,37.1,2.896,1.428,2599,1531,0.00359,9356.553894
TiO2,Water,1.75,22.6,1.615,0.64,3795,1186,0.00957,2346.09295
SiO2,Ethylene Glycol,1.74,22.6,0.669,1.509,4460,1456,0.00297,3808.638703
Al2O3,Propylene Glycol,3.76,69.3,1.698,1.703,2303,960,0.0067,2038.07316
SiO2,Propylene Glycol,4.67,29.4,0.793,0.815,3847,1366,0.00464,949.5302929
ZnO,Oil,1.14,34.6,0.152,0.812,1198,1598,0.00808,384.4716601
TiO2,Propylene Glycol,4.22,20.1,0.99,1.295,1306,1100,0.00095,1826.848647
CuO,Ethylene Glycol,3.79,78,0.552,0.972,3139,1292,0.00475,952.5865967
CuO,Oil,0.35,41.9,2.701,1.869,1289,1115,0.00239,9135.78128
TiO2,Water,4.76,21,1.327,0.87,2626,1555,0.00862,1042.86385
CuO,Water,1.6,72.5,0.14,1.56,1553,1255,0.00996,409.7860928
Al2O3,Ethylene Glycol,3.37,24,0.109,1.342,3198,922,0.00632,245.4505848
TiO2,Propylene Glycol,4.65,65.3,0.558,1.469,1898,917,0.00238,713.0096573
TiO2,Water,2.52,26.9,2.501,1.754,1468,941,0.00781,3143.509493
Al2O3,Ethylene Glycol,1.02,40.4,1.828,1.766,4190,1021,0.00382,7079.769844
ZnO,Ethylene Glycol,0.16,88.7,0.77,1.309,2623,1877,0.00814,3354.264815
Al2O3,Water,3.87,56.2,2.21,1.346,1221,1419,0.00076,5470.029893
TiO2,Oil,2.11,36.3,0.325,1.117,2069,1309,0.00599,856.1725533
SiO2,Oil,3.14,46.8,1.649,1.884,1874,1900,0.00267,5766.786044
Al2O3,Water,1.07,64,1.622,1.311,2731,1689,0.00324,7323.022181
SiO2,Water,2.44,28.9,1.083,0.919,3251,1387,0.00966,1889.691605
CuO,Ethylene Glycol,4.66,28.2,2.311,1.512,3134,1183,0.00664,2100.96518
CuO,Ethylene Glycol,2.32,76.3,0.684,2.005,2376,1664,0.00953,2211.399531
ZnO,Oil,3.42,22.3,2.732,0.911,1820,1596,0.00738,2812.11919
CuO,Ethylene Glycol,3.93,24.7,1.011,1.676,4087,1838,0.00097,5883.590888
CuO,Oil,2.34,55,0.437,1.778,2135,1663,0.00533,1730.211671
SiO2,Ethylene Glycol,0.59,35,2.257,0.8,1138,980,0.0088,2261.957757
TiO2,Oil,4.35,64.2,2.189,0.751,3632,1346,0.00526,2116.453564
ZnO,Ethylene Glycol,1.01,68.4,2.978,1.477,1146,929,0.00826,3850.007024
CuO,Propylene Glycol,3.11,34.5,1.87,1.419,3931,1490,0.00848,3866.088068
ZnO,Ethylene Glycol,4.66,75,2.22,1.215,2032,1141,0.00339,2029.829542
Al2O3,Water,0.39,64.6,2.033,0.805,2096,1126,0.00315,4406.735263
CuO,Propylene Glycol,0.79,33.7,2.627,1.584,3734,1193,0.0017,13842.84207
ZnO,Ethylene Glycol,0.16,54.5,2.463,0.826,3973,1029,0.00525,5550.61944
ZnO,Propylene Glycol,3.73,74.4,2.118,0.84,1708,1916,0.00444,2970.98941
TiO2,Ethylene Glycol,3.72,64.7,2.748,1.85,3998,1163,0.0083,4256.041354
ZnO,Ethylene Glycol,1.61,74.9,0.289,1.811,2391,1494,0.0066,1297.200376
Al2O3,Water,4.79,74.1,1.836,0.61,3157,1155,0.00671,1018.99746
Al2O3,Oil,1.92,78.5,0.256,1,1890,1948,0.00268,1173.80686
TiO2,Ethylene Glycol,3.57,35.3,0.483,0.609,3441,1770,0.00847,736.945428
Al2O3,Propylene Glycol,1.37,57.8,2.401,1.072,895,1520,0.00437,4404.641293
Al2O3,Ethylene Glycol,0.77,83.8,2.042,1.707,2507,1919,0.0085,7680.461849
TiO2,Oil,1.94,63,0.965,0.782,2650,1732,0.0015,3954.346469
Al2O3,Oil,3.32,25.9,0.603,1.667,2385,1691,0.00626,1646.74424
CuO,Propylene Glycol,1.97,36.4,1.786,0.913,1490,948,0.00956,1612.253075
ZnO,Propylene Glycol,4.31,68.9,0.49,1.294,2907,1257,0.00453,825.9259935
ZnO,Ethylene Glycol,2.74,24.8,2.151,1.925,4256,980,0.00234,6787.422484
Al2O3,Propylene Glycol,3.4,72.2,2.82,0.685,2710,1245,0.00542,2799.436277
CuO,Ethylene Glycol,3.98,72.8,0.811,0.844,2824,1868,0.00307,1694.380247
Al2O3,Oil,3.14,76.4,0.372,1.881,1441,1454,0.00074,2118.880905
TiO2,Ethylene Glycol,2.23,25.4,2.297,0.902,3605,972,0.00536,3643.872383
TiO2,Propylene Glycol,4.4,33.7,0.159,1.648,1240,1277,0.00142,396.6131694
ZnO,Water,1.99,84.2,0.283,0.636,4178,1585,0.00985,675.2263667
SiO2,Ethylene Glycol,4.67,48,0.842,1.781,2592,1538,0.00171,2164.024324
ZnO,Water,1.78,54.7,0.636,0.638,1764,1131,0.00145,1641.34883
CuO,Oil,0.75,52.7,0.768,0.822,4380,1140,0.00487,2391.200244
ZnO,Water,1.85,47.5,2.227,0.98,1932,1288,0.00573,3752.767644
Al2O3,Ethylene Glycol,1.88,72.6,2.416,1.377,2530,1497,0.00745,5352.510546
SiO2,Water,1.7,55.1,1.572,1.006,2528,1461,0.0083,3162.759457
SiO2,Ethylene Glycol,0.46,32,2.473,1.337,4119,905,0.00771,5781.112792
Al2O3,Water,4.62,89.5,1.355,1.363,890,1815,0.00332,1570.753825
TiO2,Water,0.46,65.7,0.649,1.648,2492,1792,0.00462,3786.278389
TiO2,Oil,2.64,83.2,1.368,1.245,3375,1728,0.00411,4443.844042
ZnO,Oil,2.5,29.2,2.138,1.628,1328,1477,0.00845,3528.92328
CuO,Water,0.87,41.4,0.343,0.77,2830,1778,0.00686,1164.418995
TiO2,Water,4.96,28,0.299,0.797,1685,1033,0.00084,390.9565948
ZnO,Water,3.92,85,0.161,1.249,1547,1795,0.00632,326.8070388
SiO2,Propylene Glycol,4.61,51.8,0.504,1.767,2264,1534,0.00686,792.915313
SiO2,Oil,1.9,62,1.595,1.907,2933,1505,0.00914,4691.333243
ZnO,Ethylene Glycol,3.81,64.3,1.784,1.222,2219,1632,0.01011,2194.378571
TiO2,Propylene Glycol,1.46,57.4,0.977,0.827,3552,1826,0.00386,3807.334105
ZnO,Water,0.64,57.9,2.588,1.311,1671,931,0.00454,5080.642349
TiO2,Propylene Glycol,1.54,65.6,0.482,1.384,3415,1227,0.00759,1583.108142
CuO,Ethylene Glycol,4.5,47.1,2.6,1.962,4399,1457,0.00213,6640.520371
ZnO,Water,3.43,50.9,0.743,1.069,4336,1316,0.00409,1820.336279
ZnO,Ethylene Glycol,0.24,65.5,2.957,1.92,1892,1783,0.00223,17472.82663
TiO2,Oil,3.81,59.6,0.798,0.688,2261,950,0.00512,699.3319797
CuO,Oil,4.94,49.1,0.592,0.91,1278,1957,0.00796,471.4200686
Al2O3,Oil,1.58,60.8,1.626,1.597,1942,1068,0.00369,4127.983359
Al2O3,Propylene Glycol,2.1,37.7,0.139,1.445,3939,954,0.00443,534.8414312
SiO2,Ethylene Glycol,3.17,88,0.734,0.636,1009,1007,0.00052,1424.943876
TiO2,Oil,0.69,80.6,0.821,1.051,1645,1765,0.0057,2612.304046
ZnO,Propylene Glycol,2.77,70.5,2.756,1.224,1008,910,0.00098,4900.829781
SiO2,Propylene Glycol,4.44,53.9,0.753,1.58,3963,1624,0.00875,1314.6626
Al2O3,Ethylene Glycol,0.95,76.2,1.019,1.8,1706,1669,0.00601,3965.556285
CuO,Propylene Glycol,0.83,52.6,1.258,1.142,2485,904,0.00062,6583.995237
ZnO,Oil,2.9,22.6,1.28,0.898,955,984,0.00406,1254.724898
ZnO,Ethylene Glycol,1.98,57.9,1.453,0.971,3197,1554,0.00429,4126.541759
SiO2,Ethylene Glycol,4.43,56.4,0.659,1.225,1961,1641,0.00108,1750.405587
TiO2,Oil,2.73,55,0.717,1.523,2145,1482,0.00435,2084.098473
CuO,Ethylene Glycol,1.75,79.7,1.329,0.936,3980,1336,0.00226,5022.353236
TiO2,Water,3.63,89.1,0.312,1.03,2847,1313,0.00537,604.5809843
TiO2,Oil,2.06,49.8,1.915,0.935,3035,1291,0.00461,4077.665261
ZnO,Propylene Glycol,1.78,67.1,0.375,1.803,2873,1355,0.00839,1400.881412
Al2O3,Propylene Glycol,4.33,60.7,0.543,1.065,2755,1110,0.00081,1377.332922
Al2O3,Propylene Glycol,2.68,82,0.514,1.39,2153,1793,0.00578,1667.717981
Al2O3,Oil,3.25,63.3,1.601,1.782,2351,1053,0.0054,2657.420668
CuO,Propylene Glycol,0.79,29.7,0.971,1.614,3957,1350,0.00887,3437.21559
ZnO,Water,1.46,81.5,2.025,1.159,1956,1576,0.00542,5123.774991
Al2O3,Water,1.87,68,1.397,1.937,3279,1981,0.00651,6572.700852
TiO2,Ethylene Glycol,0.19,79.1,1.942,1.486,3215,1272,0.00675,6649.81762
Al2O3,Oil,3.08,77.6,0.13,1.778,2698,1815,0.00776,555.8504602
ZnO,Oil,2.39,21.6,1.327,1.247,2340,1542,0.00821,2799.313876
CuO,Oil,0.21,44.4,1.735,0.733,4204,1630,0.00758,5093.835084
ZnO,Propylene Glycol,2.57,31.2,1.744,1.933,3682,1080,0.00327,5292.253105
CuO,Oil,1.2,44.8,2.223,1.194,907,1650,0.00191,6870.908785
SiO2,Ethylene Glycol,4.01,30.6,1.36,1.31,2803,1855,0.00221,3726.333113
CuO,Oil,2.81,32.5,2.887,0.917,1427,1479,0.00615,3497.481303
Al2O3,Propylene Glycol,3.24,40.5,1.004,1.577,3853,979,0.00746,1679.966573
Al2O3,Oil,1.29,61.8,2.395,1.848,4243,909,0.00885,5645.494299
ZnO,Propylene Glycol,0.27,69.4,1.399,1.001,3028,1424,0.00446,5041.109257
SiO2,Ethylene Glycol,2.22,24,2.633,0.683,1839,1952,0.00854,3737.758209
TiO2,Propylene Glycol,4.27,67.1,0.576,0.69,3234,1837,0.00575,842.936735
SiO2,Propylene Glycol,4.69,33.7,0.931,1.781,3437,1802,0.00979,1496.598562
CuO,Water,1.03,28.9,2.535,0.837,3919,1462,0.00718,6053.626933
Al2O3,Water,3.01,80,1.634,0.718,3449,1898,0.00937,2392.872488
Al2O3,Ethylene Glycol,1.92,38.9,0.83,1.8,1216,1330,0.00302,2640.654804
CuO,Water,0.11,86.7,2.092,0.682,3705,1521,0.00151,10042.21711
SiO2,Oil,0.24,40.4,1.333,1.339,1787,1302,0.00382,4568.456251
CuO,Water,2.02,26.7,2.019,1.711,2276,1957,0.00087,14422.57673
TiO2,Ethylene Glycol,2.15,57.5,0.687,0.608,1555,1053,0.00834,697.5448554
CuO,Oil,3.69,85.2,1.444,1.934,977,1542,0.00447,2413.084701
CuO,Oil,3.21,33.9,0.714,0.673,798,1376,0.00797,572.0507367
SiO2,Propylene Glycol,2.82,80.8,1.213,0.877,3964,1232,0.00328,2684.876055
CuO,Water,4.93,39.7,0.541,1.445,1064,1400,0.00965,386.4414502
TiO2,Oil,3.63,61.1,2.299,0.854,959,1489,0.00333,2383.287151
ZnO,Oil,2.19,49.9,2.891,0.977,992,1456,0.00154,6117.136352
TiO2,Oil,4.12,45.9,0.429,1.536,2271,1311,0.00391,888.6496058
TiO2,Water,1.87,74.5,0.423,1.244,2008,1721,0.00824,1248.845313
Al2O3,Oil,4.94,60.8,0.737,1.048,1282,1033,0.00605,395.8013117
ZnO,Propylene Glycol,0.44,30.3,2.022,1.595,3067,1797,0.00912,7882.536754
CuO,Water,3.6,65.9,1.496,1.771,3510,1424,0.0048,3727.320517
CuO,Ethylene Glycol,1.62,29.2,0.285,0.644,4180,1562,0.00798,859.1367831
ZnO,Propylene Glycol,1.2,77.4,1.434,1.929,4022,1068,0.00286,6819.758851
ZnO,Water,1.41,59.5,0.409,1.401,3268,1183,0.00685,1438.527921
SiO2,Water,1.48,28.5,0.703,0.727,3862,1017,0.00348,1749.30302
SiO2,Oil,4.43,24.2,2.652,1.031,2401,1144,0.00618,1861.651096
ZnO,Water,3.74,59.2,2.929,0.739,3987,1748,0.0059,4020.671744
TiO2,Propylene Glycol,4.56,70.7,0.538,1.17,2470,1421,0.00277,881.8990861
TiO2,Water,0.81,42.2,1.456,0.697,4327,1871,0.00949,4096.860495
TiO2,Propylene Glycol,3.88,43.4,1.492,1.069,2769,1527,0.00194,3448.600353
SiO2,Water,3.33,46.6,2.968,1.606,2382,1583,0.00243,8025.662521
ZnO,Oil,3.48,24.9,1.034,0.922,3735,1336,0.00711,1594.469714
SiO2,Ethylene Glycol,4.65,22.8,1.181,1.903,2714,1870,0.00637,2100.496445
CuO,Oil,2.26,33.4,1.712,0.869,2727,1822,0.00749,3269.648035
TiO2,Propylene Glycol,2.91,48.4,0.484,1.744,4379,1473,0.005,2031.297208
SiO2,Water,3.45,37.1,0.229,0.716,2906,919,0.0094,255.1658373
SiO2,Ethylene Glycol,4.68,89.8,0.2,0.983,4243,1427,0.00651,326.9316646
TiO2,Propylene Glycol,4.76,21.2,0.218,1.37,2700,1250,0.00125,591.625428
ZnO,Ethylene Glycol,3.62,71.7,0.219,1.223,3685,1947,0.00347,951.5174458
SiO2,Oil,0.52,47.1,0.501,0.748,2399,1466,0.00491,1519.767009
ZnO,Water,0.47,61,1.556,0.859,4349,1383,0.00099,9851.561864
SiO2,Propylene Glycol,2.18,33,0.313,1.815,4028,1640,0.00511,1761.107007
TiO2,Oil,2.76,22.7,0.894,1.616,1911,1135,0.00874,1534.907729
ZnO,Oil,3.57,58.8,2.519,1.344,4328,1629,0.00885,4522.505695
TiO2,Ethylene Glycol,2.62,87.6,2.164,1.972,1356,1827,0.00968,4283.333897
Al2O3,Ethylene Glycol,0.99,63.2,2.955,1.142,3384,1462,0.00501,8631.044715
CuO,Water,0.67,52.9,2.79,0.876,1711,1265,0.00835,4087.034598
Al2O3,Water,4.68,86.7,0.985,0.974,2981,1528,0.0042,1292.453658
TiO2,Propylene Glycol,2.93,37.5,2.096,0.76,2656,1720,0.00453,3798.840931
TiO2,Oil,1.09,36.4,0.406,1.72,3171,1883,0.00242,3474.320343
Al2O3,Propylene Glycol,1.01,75.9,2.318,1.128,2992,1034,0.00989,4072.685182
CuO,Oil,3.85,80.1,1.545,0.971,4312,1908,0.00658,2972.151528
SiO2,Propylene Glycol,4.56,30.4,0.179,1.216,2357,1845,0.00386,417.4427039
ZnO,Water,1.86,46.7,1.582,0.808,1191,1377,0.00605,2124.947403
SiO2,Oil,4.34,39.7,1.366,1.36,4205,1545,0.0091,1965.828581
Al2O3,Ethylene Glycol,4.19,82.4,2.55,0.847,1960,1236,0.0034,2390.650468
Al2O3,Water,0.99,56.8,1.213,1.026,2283,1606,0.00607,3391.813157
TiO2,Water,2.27,89.5,2.334,1.871,4158,1306,0.00913,5855.476211
CuO,Water,2.49,25,0.548,1.693,3574,1347,0.0062,1904.341434
CuO,Oil,0.54,20.5,1.95,0.927,2502,1032,0.00328,5028.089724
TiO2,Ethylene Glycol,3.81,73.7,1.996,0.832,1173,1894,0.00549,2126.972869
Al2O3,Propylene Glycol,3.96,56.9,0.139,1.994,2509,1201,0.0048,398.427964
Al2O3,Water,0.29,64.7,2.315,1.533,851,1908,0.00327,8327.66665
TiO2,Ethylene Glycol,3.08,45.6,0.17,1.181,2058,1771,0.00712,490.9179364
SiO2,Oil,2.91,87.8,2.261,1.576,1947,1587,0.00925,3923.469712
ZnO,Propylene Glycol,2.27,55,2.604,1.003,3210,1572,0.00644,5348.847612
CuO,Propylene Glycol,2.84,52,1.037,0.909,1549,1035,0.00157,2013.245443
TiO2,Oil,2.68,30.9,0.412,0.987,2486,1171,0.00288,1098.471803
SiO2,Propylene Glycol,1.34,81.2,0.229,0.874,2457,1031,0.00278,778.6529626
SiO2,Water,4.68,32.5,1.703,0.991,2986,1365,0.00744,1403.138073
SiO2,Water,4.75,89.2,0.747,0.689,1980,1627,0.00526,644.9810936
TiO2,Water,2.07,54,0.682,0.799,2895,1728,0.00665,1748.003849
SiO2,Ethylene Glycol,3.14,79.5,2.772,1.011,3904,1000,0.00395,4285.565524
CuO,Oil,2.28,79.5,1.478,0.688,1239,1734,0.00586,2117.197915
Al2O3,Water,1.51,47.9,2.905,1.977,3522,2004,0.00179,21784.65976
Al2O3,Ethylene Glycol,0.18,40.7,2.099,1.549,1533,1812,0.00494,7956.438807
CuO,Oil,4.99,81.3,2.174,1.96,2525,1349,0.00533,2305.415041
CuO,Ethylene Glycol,2.7,34.9,1.253,1.486,811,1457,0.00925,1614.239554
Al2O3,Ethylene Glycol,0.35,54.5,0.665,1.339,3550,1722,0.00103,7350.200353
CuO,Propylene Glycol,1.91,63,0.839,1.921,1694,1181,0.005,2326.049812
CuO,Propylene Glycol,1.39,26.7,0.209,1.367,2219,1327,0.00495,892.225042
SiO2,Ethylene Glycol,0.42,46.1,2.793,0.926,2274,964,0.00801,4028.362278
TiO2,Propylene Glycol,4.97,63.8,0.591,2.003,2002,1928,0.00791,842.2849188
CuO,Oil,1.1,83.7,1.219,1.678,3405,1644,0.00452,6186.5744
SiO2,Water,0.81,46.8,0.152,1.49,4192,1885,0.00565,1253.66354
TiO2,Oil,4.7,20.7,1.22,1.97,4049,1798,0.00228,3622.670289
SiO2,Ethylene Glycol,0.33,68,1.627,1.839,4045,1286,0.00396,8255.24947
TiO2,Oil,1.61,47.7,2.26,0.853,4059,1220,0.00169,7802.767068
ZnO,Water,2.05,85.8,1.882,0.875,2426,1880,0.00442,4891.014043
Al2O3,Propylene Glycol,4.15,60.8,2.389,1.892,3532,1249,0.00773,3435.329842
Al2O3,Ethylene Glycol,1.31,46.5,1.091,1.618,2667,1602,0.0055,4499.908158
Al2O3,Propylene Glycol,2.5,36.1,2.018,0.684,4005,1989,0.00685,4258.683913
SiO2,Ethylene Glycol,0.25,21.2,0.399,0.959,3152,1802,0.00998,1581.185376
SiO2,Propylene Glycol,0.12,64.9,1.329,1.901,3939,938,0.01001,3924.110489
ZnO,Oil,0.28,21.4,0.565,1.834,1247,1062,0.00979,1370.600319
CuO,Ethylene Glycol,3.87,20.8,1.564,0.671,1069,954,0.00314,1050.795747
SiO2,Oil,0.62,30.8,1.86,1.943,1585,1729,0.0059,6985.49018
TiO2,Propylene Glycol,0.54,39.9,1.973,1.139,2044,1577,0.0005,14897.63285
SiO2,Ethylene Glycol,2.07,55.8,1.173,1.913,3366,1663,0.00983,4001.435476
TiO2,Propylene Glycol,3.36,40.6,2.064,1.261,2066,1502,0.00116,6137.397582
TiO2,Water,4.92,30.3,0.404,1.397,4521,1393,0.00374,774.8637461
ZnO,Water,3.59,33,2.847,0.668,2057,1029,0.00334,2539.444574
ZnO,Ethylene Glycol,2.73,88.2,2.058,1.158,1408,1330,0.00342,3569.742935
ZnO,Water,3.74,59.4,1.776,0.912,3659,1082,0.00412,2333.437328
ZnO,Ethylene Glycol,3.77,22.8,0.121,0.996,1133,1235,0.00053,453.2491444
CuO,Ethylene Glycol,1.65,55.8,1.268,1.954,3615,1732,0.00345,7571.061528
TiO2,Oil,1.82,25.6,2.347,1.603,2766,1000,0.00598,4971.706933
SiO2,Water,1.02,81.5,2.632,1.266,3018,920,0.00956,4317.998823
TiO2,Ethylene Glycol,4.04,58.6,0.337,0.722,3095,1532,0.00428,588.3083112
CuO,Water,0.66,88.4,1.989,1.004,3257,1049,0.007,4203.621067
Al2O3,Water,2.02,20,0.24,1.247,1134,1687,0.0028,883.9663984
TiO2,Propylene Glycol,2.63,49,2.402,1.653,2581,1108,0.00451,4950.374049
SiO2,Propylene Glycol,1.75,45.3,2.017,1.075,1920,1010,0.00138,5422.983791
CuO,Oil,2.06,82.3,1.26,0.868,1247,1792,0.00696,2142.421056
SiO2,Water,0.27,30.1,1.233,0.983,2864,1806,0.00346,5959.986081
CuO,Oil,2.37,50.2,2.563,1.778,1765,1641,0.00218,9229.500884
SiO2,Ethylene Glycol,0.59,88.6,1.452,1.091,1677,1723,0.0097,3402.405278
CuO,Ethylene Glycol,0.4,89.2,2.864,1.24,4128,1115,0.00348,10046.72282
TiO2,Propylene Glycol,3.67,84.6,2.889,0.869,1840,1515,0.00779,2599.190626
SiO2,Water,1.19,52.3,2.965,1.378,2902,1511,0.00505,9158.398502
ZnO,Water,3.53,76.8,2.965,1.065,2292,1620,0.00866,3549.075011
ZnO,Ethylene Glycol,1.13,47.7,1.234,1.507,3584,1330,0.00861,3857.093669
TiO2,Ethylene Glycol,0.2,42.4,2.506,1.117,1769,1930,0.00297,10659.6507
TiO2,Ethylene Glycol,1.52,47.9,3.002,1.753,3829,1350,0.00518,10313.60816
Al2O3,Oil,1.36,25.7,0.549,1.725,1509,1086,0.0068,1436.597069
TiO2,Ethylene Glycol,4.63,78.4,1.362,0.936,2721,925,0.0082,790.6974767
Al2O3,Ethylene Glycol,0.61,35.1,0.138,1.612,4464,1339,0.00838,872.3873523
CuO,Ethylene Glycol,2.71,80.6,1,1.799,2227,1400,0.00963,2083.055043
Al2O3,Propylene Glycol,4.73,25.2,1.355,0.692,1436,1677,0.00166,1492.798102
CuO,Water,2.26,78,0.846,1.32,3217,1903,0.00341,3923.643903
CuO,Water,3.06,20.4,0.564,0.797,1855,974,0.00513,688.0537896
CuO,Water,1.54,76.6,0.485,1.159,4412,926,0.00238,1969.351492
TiO2,Oil,2.31,54.1,0.306,1.729,2715,1350,0.00336,1465.735465
Al2O3,Ethylene Glycol,1.03,43.5,1.145,0.879,3497,1933,0.00279,5533.052744
ZnO,Water,1.26,73,0.804,0.961,3165,1178,0.00404,2455.275388
ZnO,Propylene Glycol,3.98,58.4,0.385,1.698,3994,1400,0.00562,1046.810889
Al2O3,Oil,1.28,69,0.478,1.641,2541,1057,0.00834,1372.25695
ZnO,Water,3.07,51.7,1.587,1.984,3435,1632,0.00855,4183.031041
TiO2,Water,0.38,24.8,0.478,0.648,3165,919,0.00553,1086.602903
SiO2,Ethylene Glycol,1.56,73.3,2.468,1.634,4490,1019,0.00126,12431.74053
TiO2,Water,2.36,27.1,2.101,1.601,3509,1455,0.00297,7744.517233
Al2O3,Propylene Glycol,1.16,37.9,0.787,1.67,2363,1068,0.00787,2097.265233
CuO,Oil,2.19,80.6,1.103,0.892,3716,914,0.00562,1879.912912
SiO2,Water,2.74,62.9,0.844,1.39,2146,1497,0.00829,1736.933047
Al2O3,Ethylene Glycol,3.27,38.1,2.13,1.661,2963,1211,0.00457,4408.560593
ZnO,Propylene Glycol,4.76,40.2,2.19,1.495,3302,1269,0.00198,3539.537595
TiO2,Oil,2.75,57.8,1.103,1.171,2457,1822,0.001,5616.301318
CuO,Oil,3.07,25.4,2.5,1.982,2698,1327,0.00415,6262.849185
ZnO,Ethylene Glycol,0.34,33.8,2.697,1.581,2363,1432,0.00751,8197.614201
CuO,Oil,1.63,79.9,1.558,1.909,1695,1825,0.00825,4730.127387
CuO,Propylene Glycol,1.29,28,0.452,1.315,2501,898,0.00817,1015.957485
SiO2,Propylene Glycol,0.96,63.4,2.526,1.164,1389,1518,0.00387,6501.224946
CuO,Water,3.71,73.8,1.98,0.653,4428,1529,0.00522,2713.093444
Al2O3,Propylene Glycol,3.77,49.8,1.25,1.171,1152,1886,0.0031,2240.020682
